100.8.0.0
Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
2;GeocacheBasis;24;24
3;GeocacheBasis;27;27
4;GeocacheBasis;14;14
5;GeocacheBasis;18;18
6;GeocacheBasis;9;9
7;GeocacheBasis;10;10
8;GeocacheBasis;12;12
9;GeocacheBasis;4;4
10;GeocacheBasis;16;16
11;GeocacheBasis;42;42
Sum tiles between LoD 2 -> 11:;;;176
Duration drawing:;;;00:00:01.507176

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
6;GeocacheBasis;4;4
7;GeocacheBasis;8;8
8;GeocacheBasis;42;42
9;GeocacheBasis;45;45
10;GeocacheBasis;18;18
Sum tiles between LoD 6 -> 10:;;;117
Duration drawing:;;;00:00:02.161977

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;16;16
10;GeocacheBasis;26;26
Sum tiles between LoD 9 -> 10:;;;42
Duration drawing:;;;00:00:01.046797

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;12;12
12;GeocacheBasis;34;34
13;GeocacheBasis;35;35
14;GeocacheBasis;37;37
Sum tiles between LoD 11 -> 14:;;;118
Duration drawing:;;;00:00:01.072501

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;11;11
Sum tiles between LoD 12 -> 12:;;;11
Duration drawing:;;;00:00:01.115276

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;3;3
Sum tiles between LoD 9 -> 9:;;;3
Duration drawing:;;;00:00:02.088235

